Name;IPS10   ;IPS11   ;IPS299  ;IPS12   ;IPS13   ;IPS18   ;IPS25   ;IPS32   ;IPS34   ;IPS38   ;IPS43   ;IPS307  ;IPS306  ;PMP     ;UTL11   ;CES275  ;CES277  ;CES278  ;CES275R  ;CES277R  ;CES278 R ;CES002  ;CES003  ;CES006  ;CES011  ;CES015  ;CES017  ;CES033  ;CES046  ;CES048  ;CES049  ;CES053  ;CES088  ;CES140  ;LHEL    ;LHELX   ;LHEM    ;LHNAG   ;LHUR    ;LHU680  ;LHU5    ;LHU14   ;LHU15   ;LHU26   ;LHU27   ;CES151  ;CES155  ;HSBR    ;HSFR    ;HSNE    ;HSMW    ;HSSOU   ;HSWST   ;FYFF    ;FYGM3   ;FYGM6   ;FYGT1   ;FYGT5   ;FYGT10  ;FYAAAC  ;FYBAAC  ;Sfygm6;Sfygt1;Sfygt10;sFYAAAC  ;sFYBAAC  ;FM1     ;MZMSL;FM2;FMFBA   ;FMRRA   ;FMRNBA  ;BUSLOANS;CCINRV  ;PI071   ;PI072   ;PI073   ;PI074   ;CPIAUCSL;CPILFESL;PCEPILFE;PWFSA   ;PWFCSA  ;PWIMSA  ;PWCMSA  ;PWCMSAR ;PSCCOM  ;PSCCOMR ;PW561   ;PW561R   ;PMCP    ;EXRUS   ;EXRSW   ;EXRJAN  ;EXRUK   ;EXRCAN  ;FSPCOM  ;FSPIN   ;FSDXP   ;FSPXE   ;FSDJ    ;HHSNTN  ;PMI     ;PMNO    ;PMDEL   ;PMNV    ;MOCMQ   ;MSONDQ  
3\1\1983;53,5728;55,5769;55,712;61,6661;40,5558;72,353;37,9259;50,9419;30,7058;76,074;49,8218;63,4045;75,5712;58,4;70,6911;9,24;11,38;8,59;15,00170474;18,47612553;13,94639001;73071;21649;920,4;3942;16711;10059;6652;67427;18411;4498;10473,8;5267;16005;54;0,351;99179;95819;10,3;19,4;3502;3150;4612;1866;2746;39,3;2,6;1475;1606;207;203;850;346;8,77;8,35;8,37;9,04;10,08;10,51;11,73;13,61;0,02;0,69;2,16;1,22;3,1;490,6;1326,7;2017,8;165052;24414;23621;400,8;328041,5;61,593;93,773;67,537;52,917;98,100;98,200;60,009;101;100,7;99,7;100,5;167,4748788;243,2522;405,3595294;92,5;154,1435451;47,9;111,14;2,0663;238,25;149;1,2263;151,8757;170,3257;4,59;11,95;1129,58;80,9;53,9;60,8;50,8;44,2;87,709;20,445
4\1\1983;54,2116;56,2434;56,3786;62,9073;41,4371;73,7661;37,8827;51,5458;31,2254;77,1547;50,3812;67,836;78,6765;58,2;71,455;9,25;11,37;8,61;14,94997818;18,37635156;13,91560131;73362;21729;906,5;3948;16794;10125;6669;67623;18468;4512;10504,1;5289;15990;55;0,362;99560;96219;10,2;19,5;3539;3112;4370;1660;2710;39,3;2,7;1566;1472;157;199;798;318;8,8;8,21;8,3;8,98;10,02;10,4;11,51;13,29;0,09;0,77;2,19;1,11;2,89;493,2;1343,0;2031,1;166549;24900;23890;397,9;330023,4;61,873;93,851;68,028;53,099;98,800;98,600;60,179;101,1;100,7;99,5;101,2;168,1649745;249,26;414,1976437;92,5;153,7081042;55,6;111,9;2,0587;237,75;153,61;1,2325;157,7105;176,776;4,44;12,52;1168,43;86,9;54,2;59,4;52,7;46;89,366;21,96
5\1\1983;54,6029;56,6014;56,7454;63,1989;42,2671;73,7061;38,3491;51,9644;31,9835;78,1794;51,0323;65,2415;80,8659;61,5;72,3522;9,26;11,31;8,64;14,92465146;18,22870497;13,92537674;73624;21829;901,9;3960;16885;10198;6687;67800;18522;4525;10536,7;5302;16005;60;0,399;99642;96314;10,1;20,5;3531;2979;4538;1788;2750;39,7;2,8;1669;1776;168;223;986;399;8,63;8,19;8,22;8,9;10,03;10,38;11,46;13,09;0,03;0,71;2,19;1,08;2,71;500;1362,4;2045,5;167842;24860;23907;396,2;331068,2;62,045;93,78;68,4;53,191;99,200;98,900;60,265;101,4;101;99,8;100,9;167,4271965;248,7714;412,7958185;92,4;153,3228242;60,3;111,8;2,0572;234,76;157,22;1,2292;164,0967;184,1029;4,27;13;1212,86;93,4;56,1;61,8;51,9;45,7;91,821;21,547
6\1\1983;54,8843;56,8165;56,8742;63,3957;42,993;73,5629;38,4586;52,307;32,368;78,3126;51,3965;62,3321;81,5138;63,2;72,8441;9,28;11,32;8,66;14,90212452;18,17802258;13,90650844;73987;21949;899;4006;16960;10248;6712;68058;18599;4543,7;10585,7;5313;16020;60;0,396;100633;97171;10,1;20,8;3686;2926;4470;1585;2885;39,8;2,9;1769;1733;162;208;939;424;8,98;8,79;8,89;9,66;10,63;10,85;11,74;13,37;0,1;0,87;2,06;0,89;2,52;504;1372,7;2055,8;169393;25277;23641;399,0;334551,8;62,273;93,955;68,511;53,486;99,400;99,200;60,556;101,6;101,3;100,2;100,5;165,9620847;247,9045;409,3805734;92,4;152,5860361;61,5;113,99;2,1123;240,03;154,8;1,2323;166,39;187,2605;4,26;13,25;1221,47;89,2;57,5;62,3;56,8;45,7;94,293;23,176
7\1\1983;55,7347;57,6413;57,6797;64,2935;43,9828;74,367;39,2272;53,1717;33,0164;79,0186;52,1499;65,1451;82,6634;71,5;73,8862;9,32;11,32;8,71;14,88294848;18,07671425;13,90884992;74414;22103;904,7;4055;17059;10333;6726;68322;18688;4554,9;10655;5340;16011;64;0,45;101208;97727;9,4;21,2;3459;2821;4329;1735;2594;39,9;3;1795;1785;173;233;954;425;9,37;9,08;9,26;10,2;11,21;11,38;12,15;13,39;0,18;1,12;2,3;0,77;2,01;507,8;1375,3;2067,1;170129;25356;23903;403,0;337934,9;62,622;94,186;68,712;53,929;99,800;99,800;60,997;101,6;101,3;100,5;99,5;163,1227765;251,485;412,2907684;92,1;150,9910323;63,2;114,9;2,1184;240,52;152,73;1,2323;166,956;188,315;4,21;13,45;1213,93;91,1;63,6;70,3;58,9;50,8;95,343;21,442
8\1\1983;56,3562;58,1656;58,2084;64,8859;44,7961;74,7993;39,5665;53,8803;33,3936;79,6253;52,5541;68,4887;81,9205;69,9;74,4284;9,33;11,34;8,71;14,83330419;18,02890348;13,84759694;74101;22207;902,7;4100;17118;10378;6740;67910;18720;4566,8;10689,3;5362;16016;65;0,454;101608;98106;9,5;20;3632;3035;4070;1540;2530;39,9;3,1;1713;1910;194;237;1043;436;9,56;9,34;9,51;10,53;11,63;11,85;12,51;13,64;0,17;1,19;2,51;0,66;1,79;510,5;1375,1;2076,2;171208;25376;23830;406,8;341427,6;62,899;94,311;68,855;54,297;100,100;100,100;61,327;101,9;101,6;100,9;102,2;166,647643;267,3174;435,8885972;92,1;150,178551;69,4;116,97;2,1632;244,46;150,26;1,2338;162,4187;183,1622;4,35;13,09;1189,21;88,2;63,1;68,1;60,2;49,3;96,535;22,501
9\1\1983;57,2147;59,1383;59,1948;65,7037;45,5982;75,5963;40,7368;54,6171;34,2855;80,5504;53,5422;69,5329;82,9766;67,8;75,7882;9,37;11,39;8,76;14,84497536;18,04527955;13,87854687;75189;22381;901,9;4138;17255;10485;6770;68850;18866;4594,1;10756,1;5387;16042;67;0,483;102016;98669;9,2;20,2;3768;2774;3854;1413;2441;40,1;3,3;1585;1710;143;225;954;388;9,45;9;9,15;10,16;11,43;11,65;12,37;13,55;0,15;1,16;2,65;0,72;1,9;512,8;1375,9;2085,3;172411;25435;23994;408,2;344257,1;63,119;94,56;68,862;54,628;100,400;100,500;61,575;102,2;101,8;101,6;103,3;167,7628908;268,9667;436,8115307;92,1;149,5736906;68;116,86;2,1623;242,35;149,86;1,2326;167,1614;188,6105;4,24;13,28;1237,04;85,8;62,5;66,9;60,7;48,6;97,313;24,525
10\1\1983;57,691;59,2957;59,2689;65,3495;46,174;74,6833;41,2611;55,3984;35,0117;81,477;54,1578;65,0988;80,9018;69,6;76,6089;9,41;11,41;8,8;14,88194082;18,04494631;13,91722415;75516;22546;913,4;4178;17367;10575;6792;68956;18928;4612,2;10798,3;5397;15986;72;0,54;102039;98736;8,8;20,2;3491;2736;3648;1371;2277;40,1;3,3;1716;1715;157;203;970;385;9,48;8,64;8,83;9,81;11,28;11,54;12,25;13,46;0,19;1,17;2,9;0,71;1,92;517,2;1379,4;2101,5;173584;25454;24610;411,9;348650,8;63,231;94,75;68,918;54,759;100,800;101,000;61,674;102,2;101,9;101,7;103,2;167,3314525;265,7048;430,8214158;92,1;149,3335928;69,3;114,87;2,1122;232,89;149,69;1,232;167,6548;188,9962;4,25;13,27;1252,2;86,1;64,4;69,5;62,8;52,1;100,272;26,04
11\1\1983;57,8651;59,3683;59,3335;65,3296;46,1364;74,6773;41,5324;55,6698;35,2654;81,2317;54,3379;64,186;82,3495;70,7;76,7998;9,44;11,4;8,84;14,90793089;18,00322163;13,96039291;75857;22698;914,1;4217;17479;10666;6813;69156;18992;4635,4;10848,1;5416;15997;73;0,57;102729;99438;8,5;19,7;3347;2644;3535;1368;2167;40,1;3,3;1668;1785;158;220;979;428;9,34;8,76;8,93;9,94;11,41;11,69;12,41;13,61;0,17;1,18;2,93;0,72;1,92;519;1379,6;2114,6;174605;25396;24491;415,3;353190,4;63,322;95,073;68,898;54,877;101,100;101,500;61,812;102;101,5;101,8;102,3;165,5018443;268,1714;433,8500615;92,1;149,0001941;68,1;116,68;2,1701;235,03;147,66;1,2367;165,23;185,8552;4,31;13,14;1250;87,9;66;69,2;67,5;55;101,125;23,314
12\1\1983;58,1395;59,6949;59,7313;65,4107;47,1718;74,1726;41,9295;55,8903;35,6442;80,374;54,4623;65,8697;77,1886;80,6;76,8978;9,48;11,44;8,87;14,96330203;18,05698051;14,00047352;76202;22803;917,1;4248;17551;10727;6824;69407;19075;4658,5;10899,2;5436;16008;76;0,604;102996;99664;8,3;19,2;3455;2521;3379;1318;2061;40;3,4;1627;1688;151;202;956;379;9,47;9;9,17;10,11;11,54;11,83;12,57;13,75;0,17;1,11;2,83;0,74;1,92;521,4;1382,5;2125,7;175467;25367;24593;419,1;358041,6;63,355;95,102;68,936;54,906;101,400;101,800;61,848;102,3;101,9;101,9;103,5;167,3457509;273,1;441,5664209;92;148,7517786;71,4;118,28;2,1983;234,46;143,38;1,2469;164,3605;185,179;4,32;12,41;1257,64;91;69,9;74,8;62,1;59,6;102,361;23,246
1\1\1984;59,3156;60,8861;61,0079;66,7487;48,3033;75,5907;42,8799;57,0376;36,5524;81,5493;55,4667;69,7513;78,7516;59,9;78,2215;9,53;11,52;8,91;14,97815359;18,1058058;14,00370918;76647;22942;919,9;4305;17630;10789;6841;69715;19229;4686,8;10976,1;5452;16010;78;0,642;103201;99908;8;20,4;3309;2532;3254;1214;2040;40,2;3,4;1816;1897;179;276;903;539;9,56;8,9;9,01;9,9;11,37;11,67;12,2;13,65;0,11;1;2,77;0,53;1,98;525,1;1388,7;2140,4;176896;25451;24736;422,2;362877,2;63,626;94,917;69,445;55,106;102,100;102,500;62,036;103;102,7;102,1;104,6;168,6117738;279,7571;450,9592817;92,1;148,4621832;64,4;119,47;2,238;233,8;140,76;1,2484;166,3924;187,4957;4,27;12,58;1258,88;97;60,5;63,7;64,4;52,7;103,241;26,584
2\1\1984;59,6184;61,1161;61,1418;66,5812;48,4586;75,2356;43,2688;57,4081;37,3489;82,0587;56,0942;66,8131;85,7195;64;78,9942;9,53;11,45;8,92;14,87923309;17,87693797;13,92683727;77111;23146;920,3;4410;17728;10867;6861;69990;19316;4714,6;11017,8;5472;16025;81;0,683;103824;100471;7,8;19;3327;2485;2991;1157;1834;40,7;3,4;1987;2260;263;307;1187;503;9,59;9,09;9,18;10,04;11,54;11,84;12,08;13,59;0,09;0,95;2,75;0,24;1,75;527,5;1401,8;2160,5;177838;25829;25262;430,3;371202,5;64,049;94,931;69,779;55,633;102,600;102,800;62,444;103,4;103,1;102,5;103,8;166,2289411;277,86;444,9746973;92,1;147,492153;71,1;117,66;2,205;233,6;144,17;1,248;157,2505;177,1345;4,59;11,83;1164,46;93,2;61,3;64,9;61,5;52,7;103,112;26,339
3\1\1984;59,8942;61,4415;61,4881;66,8612;48,5958;75,5954;43,7298;57,6325;37,5224;82,5037;56,3503;68,1013;83,2647;61,5;79,2253;9,57;11,5;8,96;14,89285548;17,89632581;13,94357211;77381;23209;922,8;4393;17806;10929;6877;70202;19387;4731,1;11056,6;5492;16030;81;0,687;103967;100734;7,8;19,1;3335;2501;2881;1101;1780;40,2;3,5;1725;1663;161;224;839;439;9,91;9,52;9,66;10,59;12,02;12,32;12,57;13,99;0,14;1,07;2,8;0,25;1,67;531,4;1414,4;2177,5;178872;25763;24811;438,0;373493,1;64,259;94,967;69,856;55,94;102,900;103,200;62,678;103,8;103,6;103;105,7;168,6397141;285,5909;455,6477552;92,1;146,9415106;73,6;115,35;2,149;225,27;145,57;1,2697;157,4386;177,8459;4,63;11,2;1161,97;97,7;58,9;60,9;65,5;52,7;101,636;26,654
4\1\1984;60,2506;61,751;61,8687;67,0379;48,5115;75,927;44,0766;58,0308;37,7317;82,7788;56,6282;68,7731;81,6166;62,3;79,4694;9,59;11,53;8,98;14,86637316;17,87375209;13,92075402;77699;23305;922,3;4423;17872;10980;6892;70469;19464;4750,1;11101,2;5503;16075;85;0,719;104336;101045;7,7;18,9;3362;2459;2858;1094;1764;40,4;3,5;1776;1851;190;234;953;474;10,29;9,69;9,84;10,9;12,37;12,63;12,81;14,31;0,15;1,21;2,94;0,18;1,68;535;1425,4;2193,9;179898;25691;24457;443,7;377814,2;64,508;95,543;69,893;56,257;103,300;103,700;62,989;103,9;103,5;103,2;105,2;167,013288;287,005;455,6430488;91,9;145,8984902;71,9;116,53;2,1913;225,2;142,1;1,2796;157,6015;178,573;4,64;11,18;1152,71;91,4;61;63,2;64,6;54;101,964;25,575
5\1\1984;60,5503;61,9367;61,8951;66,7971;48,0714;75,8176;44,316;58,4384;37,9877;82,6439;56,7742;69,6115;82,2255;59,3;79,5105;9,61;11,56;8,99;14,87938563;17,8986158;13,91942526;77979;23389;928,4;4456;17916;11022;6894;70693;19516;4762,9;11123,8;5522;16103;86;0,754;105193;101850;7,4;18,8;3167;2387;2884;1193;1691;40,3;3,4;1741;1774;182;243;893;456;10,32;9,83;10,31;11,66;13,17;13,41;13,28;14,74;0,48;1,83;3,58;-0,13;1,33;536,7;1429,8;2206,4;180722;25882;22894;451,7;385354,2;64,586;95,543;69,805;56,437;103,500;104,100;63,120;103,8;103,5;103,4;104,5;165,5576679;291,6818;462,1067807;91,9;145,5956907;62,5;119,66;2,268;230,48;138,94;1,2944;156,5509;177,5986;4,72;11,14;1143,42;90,6;58,6;59,2;62,5;54,1;101,482;28,422
6\1\1984;60,784;62,2459;62,1729;66,705;48,208;75,5934;44,9477;58,5956;38,2067;82,2923;57,0491;67,6649;82,1813;62,3;79,7144;9,65;11,57;9,03;14,91430073;17,88170564;13,95607623;78334;23497;933,6;4507;17967;11074;6893;70964;19612;4778,6;11181,5;5540;16127;87;0,784;105591;102208;7,2;18,1;3261;2273;2612;1036;1576;40,3;3,4;1814;1843;220;280;921;422;11,06;9,87;10,51;12,08;13,48;13,56;13,55;15,05;0,64;2,21;3,69;-0,01;1,49;540,2;1431,8;2217,4;181995;26094;22793;456,9;391575,6;64,703;95,608;69,844;56,604;103,700;104,500;63,270;103,8;103,4;103,6;103,3;163,2685317;286,9952;453,6039197;91,8;145,0924609;64;120,22;2,2832;233,57;137,7;1,304;153,1248;174,1995;4,86;10,08;1121,14;89,8;58,1;60,5;56,2;56,3;100,122;26,721
7\1\1984;60,9461;62,4151;62,3721;66,7085;48,7476;75,2774;45,5527;58,7486;38,5756;82,1061;57,3024;66,1006;79,6802;58,2;79,8728;9,67;11,58;9,05;14,89181489;17,83321783;13,93701394;78601;23571;935,3;4534;18013;11119;6894;71202;19695;4802,8;11236,7;5556;16172;89;0,773;105435;102091;7,5;18;3392;2472;2638;1048;1590;40,2;3,4;1605;1732;195;235;884;418;11,23;10,12;10,52;12,03;13,27;13,36;13,44;15,15;0,4;1,91;3,24;0,08;1,79;540,9;1429,3;2225,8;182991;25980;20056;461,9;396763,1;64,935;95,582;69,941;56,949;104,100;105,000;63,548;104;103,6;103,4;104;163,6558192;278,9857;439,0157047;91,7;144,3003714;61,3;124,32;2,4115;243,07;132;1,3238;151,0781;171,6986;4,93;9,92;1113,27;91,9;56,1;54,1;59,1;57,8;102,865;27,439
8\1\1984;60,9693;62,5278;62,4917;66,314;49,0503;74,4811;45,9397;58,6837;38,4862;81,8991;57,3674;65,2712;79,9163;54,3;79,7559;9,71;11,58;9,09;14,90818645;17,779279;13,95627341;78790;23608;938,4;4547;18034;11150;6884;71406;19752;4817,5;11267,3;5574;16224;86;0,748;105163;101877;7,5;17,3;3567;2415;2604;1089;1515;40,2;3,4;1530;1586;186;221;776;403;11,64;10,47;10,61;11,82;12,68;12,72;12,87;14,63;0,14;1,35;2,25;0,15;1,91;541;1421,7;2232,5;183754;26039;18023;465,0;401686;65,132;95,721;70,123;57,159;104,400;105,400;63,750;103,8;103,3;103,2;103,3;162,0392157;273,9957;429,7971765;91,5;143,5294118;58,7;124,5;2,415;242,26;131,32;1,3035;164,4209;186,8552;4,62;10,67;1212,82;93,7;53;54;55,2;49,1;102,251;25,971
9\1\1984;60,9077;62,6871;62,6865;66,1598;48,4009;74,6271;46,3778;58,4054;38,0879;82,0733;57,2955;65,5364;80,8347;52,2;79,439;9,74;11,58;9,12;14,93246662;17,75338433;13,98193999;79070;23617;934,6;4576;18019;11160;6859;71708;19829;4834,6;11319,8;5595;16255;88;0,78;105490;102097;7,3;17;3325;2558;2538;1087;1451;40,2;3,3;1523;1698;203;243;814;438;11,3;10,37;10,47;11,58;12,53;12,52;12,66;14,35;0,1;1,21;2,15;0,14;1,83;543,1;1424,4;2246,5;184661;26089;18847;468,7;404024,5;65,227;95,964;70,191;57,246;104,700;105,800;63,859;103,8;103,2;103,1;102,8;160,9796583;271,8842;425,7570585;91,4;143,1278285;53,4;127,77;2,5049;245,46;125,63;1,3145;166,1126;188,0979;4,54;10,22;1213,51;96,4;50;47,2;52,8;46,8;98,584;25,496
10\1\1984;60,8375;63,0664;63,1435;66,6871;48,0009;75,6869;46,6582;57,8927;38,3517;81,508;57,5303;66,2144;81,651;53,4;79,539;9,75;11,57;9,15;14,91327358;17,69708465;13,99553367;79337;23626;925,1;4590;18024;11165;6859;71985;19920;4847,8;11387,1;5620;16274;89;0,787;105638;102444;7,4;16,7;3423;2392;2526;1099;1427;40,1;3,2;1490;1590;211;226;749;404;9,99;9,74;9,87;10,9;12,06;12,16;12,63;13,94;0,13;1,16;2,42;0,47;1,78;543,7;1437,3;2261,1;185219;26259;20242;473,6;408425,5;65,378;95,87;70,372;57,415;105,100;106,200;64,001;103,6;103,1;103,2;101,5;158,591272;267,1;417,3372291;91,3;142,654021;51,7;129,23;2,5245;246,75;121,96;1,3189;164,8187;185,4413;4,62;10,14;1199,3;91,6;50,8;52,9;49,3;45,6;100,037;26,38
11\1\1984;61,0577;63,3015;63,4001;66,9121;48,7765;75,5819;47,0403;58,0948;38,5839;81,4213;57,7039;67,4034;82,9256;53,8;79,5466;9,79;11,57;9,19;14,95250023;17,67113663;14,03610594;79649;23639;920;4617;18016;11165;6851;72321;20041;4858,4;11498,2;5641;16311;88;0,796;105972;102578;7,2;17;3392;2356;2438;1016;1422;40,1;3,3;1643;1689;255;245;746;443;9,43;8,61;8,81;9,82;11,33;11,57;12,29;13,48;0,2;1,21;2,96;0,72;1,91;547,5;1458,4;2283,6;186104;26518;21901;477,7;412018,2;65,474;96,042;70,351;57,562;105,300;106,400;64,136;104;103,4;103,3;101,9;158,8811276;270,2476;421,3664712;89,4;139,3912935;55;127,2;2,47;243,63;123,92;1,3168;166,2729;186,5748;4,61;10,26;1211,3;91,5;50,3;52;48,1;45,7;100,316;26,122
12\1\1984;61,1299;63,5641;63,7976;67,2568;49,3467;75,7851;47,3314;57,9772;38,5288;81,0892;57,9105;66,2146;80,1446;54,9;79,5956;9,83;11,64;9,22;14,96992309;17,72633823;14,04096551;79805;23673;910,7;4652;18023;11177;6846;72414;20058;4870,9;11495;5661;16282;91;0,807;106223;102838;7,3;16,8;3371;2578;2401;1008;1393;40,2;3,3;1626;1612;233;230;810;339;8,38;8,06;8,28;9,33;11,07;11,5;12,13;13,4;0,22;1,27;3,44;0,63;1,9;551,6;1483,7;2308,8;187252;26913;23727;479,4;416893,3;65,665;95,917;70,447;57,852;105,500;106,800;64,394;104;103,5;103,2;101,4;157,4680871;261,5;406,0937354;88,6;137,5904587;50,7;130,15;2,5602;247,96;118,61;1,3201;164,48;183,621;4,68;9,93;1188,96;87,9;50,6;52,8;48,8;47,3;101,333;24,989
1\1\1985;60,9454;63,2004;63,3995;66,7725;48,6264;75,4515;47,0752;57,972;38,459;81,0129;57,6709;65,5506;78,0418;54,9;79,0298;9,88;11,7;9,27;14,98172775;17,74151971;14,05674254;80017;23672;908,6;4668;18009;11171;6838;72681;20103;4882,7;11518,2;5684;16336;89;0,783;106302;102985;7,3;15,9;3667;2536;2284;969;1315;39,9;3,3;1660;1711;218;236;760;497;8,35;7,76;8;9,02;10,93;11,38;12,08;13,26;0,24;1,26;3,62;0,7;1,88;557;1512,7;2334,9;188080;27077;25682;480,5;421137,5;65,947;96,016;70,619;58,218;105,700;107,100;64,714;104;103,4;103,1;99,9;154,3715425;255,7636;395,2214359;86,1;133,046945;47,6;132,78;2,659;254,18;112,71;1,324;171,6127;191,3105;4,51;10,36;1238,16;90,3;50,3;51,8;50,4;45,9;102,088;25,732
2\1\1985;61,2262;63,518;63,6476;67,2774;48,2065;76,4777;46,794;58,2121;38,1749;80,8871;57,5111;71,5187;79,4187;54,2;78,5753;9,92;11,75;9,29;14,98014225;17,74361607;14,02878241;80128;23621;906,3;4662;17966;11142;6824;72856;20133;4883,5;11539;5705;16349;90;0,802;106555;103238;7,2;15,9;3471;2452;2389;1045;1344;39,9;3,3;1662;1632;225;157;779;471;8,5;8,27;8,39;9,29;11,13;11,51;12,13;13,23;0,12;1,02;3,24;0,62;1,72;563,6;1536,2;2356,4;189636;27596;26307;485,2;427108;66,221;96,576;70,93;58,425;106,300;107,700;65,009;104,1;103,4;102,8;99,4;152,9019059;254,2737;391,1361504;83,9;129,0590534;44,8;136,95;2,8045;260,48;109,31;1,3547;180,8847;202,1258;4,3;10,97;1283,23;86,5;49,9;51,8;48,6;44,8;100,43;28,918
3\1\1985;61,3065;63,7795;63,866;67,2099;48,7485;76,0603;47,2821;58,1102;38,5026;81,0832;57,9573;67,3255;79,1144;51,2;78,9514;9,94;11,7;9,32;14,95433962;17,60219049;14,02157397;80428;23661;905,9;4730;17939;11125;6814;73162;20229;4899;11628,3;5730;16395;92;0,818;106989;103739;7,2;16,1;3519;2443;2394;1045;1349;40,1;3,3;1727;1800;240;274;831;455;8,58;8,52;8,9;9,86;11,52;11,86;12,56;13,69;0,38;1,34;3,34;0,7;1,83;566,6;1547,6;2368,5;190320;27590;25997;489,8;433806,8;66,469;96,736;71,208;58,669;106,800;108,100;65,229;104,1;103,3;102,7;97,6;149,6266998;253,1857;388,1489828;83,9;128,6237716;46,2;137,89;2,8033;257,92;112,53;1,384;179,42;200,4524;4,37;10,7;1268,83;87,3;47,8;49,1;46,7;44;100,854;27,352
4\1\1985;61,1813;63,5378;63,4657;66,8525;48,12;75,8669;46,8063;58,1021;38,2385;81,0318;57,7563;66,6806;80,32;51,6;78,4522;9,97;11,72;9,35;14,97559144;17,60420578;14,04431093;80588;23644;910,6;4764;17886;11090;6796;73374;20283;4902;11664,9;5751;16430;91;0,804;106936;103630;7,3;16,4;3499;2495;2393;1015;1378;40,2;3,1;1664;1821;273;237;821;490;8,27;7,95;8,23;9,14;11,01;11,43;12,23;13,51;0,28;1,19;3,48;0,8;2,08;570,4;1555,5;2377,8;191353;27870;26548;491,0;439280,3;66,575;96,903;71,339;58,75;107,000;108,400;65,309;104,6;103,9;102,9;96,7;148,0653509;256,181;392,2598723;84,2;128,9255692;44,1;131,91;2,5948;251,84;123,77;1,3658;180,6186;201,1338;4,37;10,79;1266,36;87;48,2;51,3;46,1;43,8;100,67;25,012
5\1\1985;61,23;63,6328;63,535;66,8942;48,1272;75,9265;46,8943;58,1033;38,1337;81,3486;57,8206;66,6703;81,3382;51,9;78,3225;9,98;11,72;9,37;14,95982732;17,56805372;14,04544909;80818;23632;905,3;4787;17855;11072;6783;73660;20355;4908,7;11721,3;5775;16474;92;0,822;106932;103652;7,2;15,3;3503;2556;2292;1057;1235;40,1;3,2;1709;1680;238;254;741;447;7,97;7,48;7,65;8,46;10,34;10,85;11,72;13,15;0,17;0,98;3,37;0,87;2,3;575,1;1569,3;2392,1;192689;28155;26821;492,3;444685,8;66,712;96,621;71,333;59,029;107,200;108,800;65,499;104,9;104,2;103,2;95,8;146,261775;250,6045;382,6081314;84,7;129,3149514;48,7;132,54;2,615;251,73;124,83;1,3756;184,8991;204,8323;4,31;11;1279,4;84,2;47,1;49,5;48;40,4;102,175;25,331
6\1\1985;61,2709;63,8249;63,8399;67,2046;48,0796;76,4319;46,9879;57,9918;38,2803;81,2534;57,9285;66,8714;80,9861;50,5;78,2623;10;11,71;9,39;14,95752064;17,51525667;14,04511188;80939;23592;899,3;4789;17819;11045;6774;73845;20406;4914,7;11754,8;5796;16498;92;0,806;106505;103344;7,4;15,5;3538;2517;2310;1029;1281;40,1;3,2;1716;1676;270;237;734;435;7,53;6,95;7,09;7,8;9,6;10,16;10,94;12,4;0,14;0,85;3,21;0,78;2,24;582,3;1595,9;2415,2;194762;28848;27644;494,2;448811,1;66,856;96,573;71,561;59,157;107,500;109,100;65,665;104,6;103,8;102,6;95,2;144,9782989;244,715;372,6718952;84,6;128,8357573;42,4;130,98;2,5721;248,84;128,08;1,3676;188,886;208,496;4,21;11,4;1314;91,1;47,8;50,7;47,1;40,2;101,437;27,015
7\1\1985;60,8878;63,4524;63,4853;66,9191;48,1499;75,9515;46,6947;57,6022;37,8346;81,1101;57,6187;65,6406;81,3794;48,2;77,6539;10,03;11,74;9,42;14,97663168;17,52997566;14,06578967;81006;23549;889,9;4799;17776;11006;6770;74077;20421;4913,8;11765,1;5818;16620;91;0,792;106807;103664;7,4;15,5;3555;2554;2329;1062;1267;40,1;3,3;1697;1684;217;221;786;460;7,88;7,08;7,2;7,86;9,7;10,31;10,97;12,43;0,12;0,78;3,23;0,66;2,12;589,1;1612,5;2432;195946;29141;28034;494,7;453518,7;66,971;96,491;71,615;59,335;107,700;109,400;65,805;104,7;103,8;102,3;94,9;144,2139655;240,5636;365,5703974;84,4;128,2577312;45,6;126,42;2,406;241,14;138,07;1,3526;192,5445;212,8959;4,14;11,73;1343,17;87,4;47,9;52,5;45,7;41,8;101,582;25,873
8\1\1985;61,1026;63,7849;63,7599;67,2014;48,5983;76,1332;46,746;57,6955;38,1987;81,1283;57,9025;65,7559;80,8363;50,6;77,862;10,04;11,76;9,43;14,94781664;17,50859797;14,03963256;81200;23546;882,9;4823;17756;10987;6769;74273;20458;4925,2;11804,8;5845;16619;92;0,832;107095;103974;7,1;15,3;3439;2515;2258;1036;1222;40,2;3,3;1808;1743;229;252;758;504;7,9;7,14;7,32;8,05;9,81;10,33;11,05;12,5;0,18;0,91;3,19;0,72;2,17;596,2;1630,6;2446,5;198013;29652;28580;496,8;457305,6;67,167;96,59;71,595;59,661;107,900;109,800;66,099;104,5;103,6;102,3;92,9;140,5467556;235,0318;355,5754247;83,7;126,6282395;44;123,99;2,2962;237,46;138,4;1,3575;188,3064;209,3959;4,23;11,47;1326,18;86,3;47,7;51,8;46,6;43;102,666;26,71
